SVR,Gradient Boosting
GG1 Rietbteite Soll,_ -6% _= -11%
GG1 Schußz m. Leiste,3D Scan
GG1 Weblänge CIR,AT1 Basisbreite
GG1 Weblänge CIR S,AT1 Wickellänge
GG2 Ges. o. Leiste,AT2 Wickellänge
GG2 Ges. o. Leiste S,AT3 Wickellänge
GG2 Rietbteite,BM1 Länge Soll
Höchstzugkraft lä MW,BM1 Stücklistenpos.
Höchstzugkraft lä WW,BM2 Breite
Höchszugk-Dehn quer,BM2 Länge
LAB Bezugsdeh. l GW,BM2 Länge Soll
LAB Bezugsdeh. q GW,BM3 Stücklistenpos.
LAB HZKraft längs GW,BM4 Länge
LAB L Fmax,Dicke bei 140 bar
LAB Softness Q 50,Dicke bei 60 bar
LAB Vliesanteil PS %,EA Breite n. Fix.
NA Breite n. Nad. S,EA Dicke rechts Tex.
NA Gewicht n. nadeln,EA Länge n. Rundl. S
NA LD VPE,EA LD quer
NA Max. Spannung KN,Gewicht Muster
NA Trägergew.vN Soll,Gewicht Träger gewogen
PF-VR3 Flächengewicht Soll,GG1 Ges. o. Leiste S
PTI Flächengewicht,GG1 Schußz m. Leiste
PTI Länge,GG1 Stücklistenposition
Trennfestigk G-G,GG1 Weblänge CIR S
VA1 Breite n.Vorf.S,GG2 Ges. o. Leiste
VA1 Breite v.Vorf.S,GG2 Stücklistenposition
VA1 Länge n.Vorf.S,GG2 Weblänge CIR
VA1 Länge n.Vorfix.,Höchstzugkraft quer
VA3 Stücklistenpos.,Höchstzugkraft-D lg
VA4 Breite n.Vorfix.,Höchszugk-Dehn quer
Var HöchstzkD längs,LAB Bezugsdeh. q GW
Var HöchstzkD quer,LAB HZKraft längs GW
Var Nahtfestigkeit,LAB HZKraft quer GW
VC1 Länge,LAB M-Fmax
VC3 Gewicht Vliesr.,LAB Softness l 50
Vlies WS,LAB Softness l 75
Vliesgewicht PS,LAB Softness Q 1
Vliesmeng PS,LAB Softness Q 50
Vliesmenge PS gewogen,LAB Trennfestigk. GW
VR1 Breite,LAB Vliesanteil PS %
VR1 Stücklistenpos.,LAB Vliesanteil WS %
VR4 Flächengewicht,NA Anz fehl. Ösen
WEAR,NA Breite n. Nad. S
,NA Breite n. Nadeln
,NA Breite v. N. M20
,NA Breite v. N. M30
,NA Länge n.d. Nadeln
,NA LD Textest
,NA LD Textest VPE
,NA LD VPE
,NA Trägergew.vN Soll
,PF Abw Flgew z Soll
,PF Bondn.Ö. a.Linie
,PF Bondn.ungl. Ösenl
,PF Gew. Endkontr.
,PF n. fehlende Ösen
,PF Steckdr. Durchm.
,PF Steckdr.Anz.Fäd.
,PF-VC1 Flächengewicht Soll
,PF-VR1 Flächengewicht Soll
,PF-VR2 Flächengewicht Soll
,PTI  LD
,PTI Breite
,PTI Länge
,PTI Total
,Trennfestigk G-G
,VA1 Breite v.Vorf.S
,VA1 Länge n.Vorfix.
,VA1 Länge vor Vorfixieren Soll
,VA1 Stücklistenpos.
,VA1 Vorfixierspann.
,VA2 Länge v.Vorfix.
,VA2 Stücklistenpos.
,VA2 Vorfixierspann.
,VA2 Vorfixierspann.S
,VA3 Breite n.Vorfix.
,VA3 Länge n.Vorfix.
,VA3 Vorfixierspann.
,VA4 Stücklistenpos.
,VA4 Vorfixierspann.
,Var Bezugsd längs
,Var HöchstzkD längs
,Var HöchstzkD quer
,Var Nahtfestigkeit
,VC1 Breite Vliesr.
,VC1 Legebreite
,VC2 Legebreite
,VC3 Legebreite
,Vlies WS
,Vliesmeng PS
,Vliesmenge PS gewogen
,Vliesmenge WS gewogen
,VR2 Breite
,VR3 Breite
,VR4 Breite
,VR4 Legebreite
,WD bei 140 bar
