SVR,Gradient Boosting
VA3 Länge v.Vorfix.,
VA3 Vorfixierspann.,
Var Abrieb PS,
Var Abrieb WS,
Var Bezugsd quer,
Var Höchstzk längs,
Var HöchstzkD längs,
Var HöchstzkD quer,
VC1 Breite Vliesr.,
VC1 Legebreite,
VC2 Gewicht Vliesr.,
VC3 Breite Vliesr.,
Vlies PS,
VR1 Legebreite,
VR1 Stücklistenpos.,
VR2 Flächengewicht,
VR2 Legebreite,
VR2 Stücklistenpos.,
VR3 Breite,
VR3 Flächengewicht,
VR4 Legebreite,
VR4 Stücklistenpos.,
WD bei 20 bar,
WD bei 60 bar,
WEAR,
