SVR,Gradient Boosting
Bezugsdehnung längs,
BM1 Breite,
BM1 Breite Soll,
BM1 Länge Soll,
BM1 Stücklistenpos.,
BM2 Breite,
BM2 Breite Soll,
BM2 Länge,
BM2 Stücklistenpos.,
BM3 Länge,
BM3 Stücklistenpos.,
BM4 Breite,
Dicke bei 100 bar,
Dicke bei 20 bar,
Dicke bei 60 bar,
EA Abw LD Textest,
EA Breite n. Fix.,
EA Breite n. Fix. S,
EA Breite n. Schm.,
EA Dicke links Tex.,
EA Dicke quer Tex.,
EA Dicke rechts Tex.,
EA Fixierspannung,
EA Gewicht Abfall,
EA Länge n. Fix. S,
EA Länge n. Rundl. S,
EA Länge n.fixieren,
EA LD quer,
Filznote,
Gewicht Muster,
Gewicht Träger gewogen,
GG1 Ges. o. Leiste,
GG1 Schußz m. Leiste,
GG1 Stücklistenposition,
GG2 Ges. o. Leiste S,
GG2 Rietbteite,
GG2 Rietbteite Soll,
Gutschriftswert in €,
Höchstzugkraft-D lg,
Höchszugk-Dehn quer,
LAB Bezugsdeh. q GW,
LAB DickeFV,
LAB HZK-Dehn. q GW,
LAB HZKraft quer GW,
LAB L Fmax,
LAB M-10,
LAB Nahtfestigk. GW,
LAB Softness l 1,
LAB Softness l 75,
LAB Softness Q 1,
LAB Softness Q 50,
LAB Softness Q 75,
LAB Trennfestigk. GW,
LAB Vliesanteil PS %,
LAB Vliesanteil WS %,
NA Anz fehl. Ösen,
NA Br. VR n. Vliesn.,
NA Breite n. Nad. S,
NA Breite v. N. M20S,
NA Breite v. N. M30,
NA Breite v. N. M30S,
NA Breite v. N. M40,
NA GesBr. m.L.v.d.N.,
NA Länge v. Nadeln10,
NA Länge v. Nadeln20,
NA LD Soll,
NA LD Textest,
NA LD Textest VPE,
NA LD VPE,
NA Trägergew.v.Nad.,
NA Trägergew.vN Soll,
PF Bond.n.offen,
PF Bondingnaht wellig,
PF Bondn.ungl. Ösenl,
PF Breite Endkontr.,
PF Durchm. Stahlsp.,
PF Gew. Endkontr.,
PF Länge Endkontr.,
PF Schließzeit,
PF-VC1 Flächengewicht Soll,
PF-VR3 Flächengewicht Soll,
PTI Flächengewicht,
PTI Länge,
Trennfestigk G-G,
VA1 Breite n.Vorfix.,
VA1 Breite v.Vorf.S,
VA1 Länge n.Vorf.S,
VA1 Länge v.Vorfix.,
VA1 Länge vor Vorfixieren Soll,
VA1 Stücklistenpos.,
VA1 Vorfixierspann.,
VA1 Vorfixierspann.S,
VA2 Breite n.Vorf.S,
VA2 Breite n.Vorfix.,
VA2 Breite v.Vorf.S,
VA2 Länge v.Vorfix.,
VA2 Länge vor Vorfixieren Soll,
VA3 Breite n.Vorfix.,
VA3 Breite v.Vorfix.,
VA3 Länge n.Vorfix.,
VA3 Länge v.Vorfix.,
VA3 Vorfixierspann.,
VA4 Breite n.Vorfix.,
Var Abrieb PS,
Var Abrieb WS,
Var Bezugsd längs,
Var Bezugsd quer,
Var Höchstzk quer,
Var Nahtfestigkeit,
VC1 Legebreite,
VC2 Länge,
VC3 Breite Vliesr.,
VC3 Gewicht Vliesr.,
VC3 Legebreite,
Vlies WS,
Vliesgewicht PS,
Vliesgewicht WS,
Vliesmeng WS,
Vliesmenge PS gewogen,
Vorlauf der Naht PF,
VR1 Breite,
VR1 Flächengewicht,
VR1 Legebreite,
VR2 Breite,
VR2 Flächengewicht,
VR2 Legebreite,
VR3 Breite,
VR3 Länge,
VR3 Legebreite,
VR3 Stücklistenpos.,
VR4 Breite,
VR4 Flächengewicht,
VR4 Stücklistenpos.,
WD bei 140 bar,
WD bei 20 bar,
WD bei 60 bar,
ID,
TENSILE_STRENGTH_NEW,
AVERAGE_THICKNESS,
WEAR,
