SVR,Gradient Boosting
LAB Bezugsdeh. l GW,Var HöchstzkD längs
LAB DickeFV,VC1 Legebreite
LAB HZKraft längs GW,VC2 Länge
LAB HZKraft quer GW,Vliesmeng WS
LAB L Fmax,VR1 Legebreite
LAB M-Fmax,VR2 Breite
LAB Softness Q 25,VR3 Breite
LAB Softness Q 50,VR3 Flächengewicht
LAB Vliesanteil WS %,VR3 Länge
LAB VPI,VR4 Breite
NA Br. VR n. Vliesn.,VR4 Flächengewicht
NA Breite v. N. M10,VR4 Länge
NA Breite v. N. M20,VR4 Legebreite
NA Breite v. N. M30S,WD bei 100 bar
NA Breite v. N. M40,TENSILE_STRENGTH_RUNNING
NA Länge n.d. Nadeln,AVERAGE_WEIGHT
NA Länge v. Nadeln10,WEAR
NA Länge v. Nadeln20,
NA Länge vor NadelnS,
NA LD Tex Typenstamm,
NA Trägergew.vN Soll,
PF Anz fehl. Ösen,
PF Bond.n.offen,
PF Breite Endkontr.,
PF Dicke,
PF Flächengew. VPE,
PF Länge Endkontr.,
PF Steckdr. Durchm.,
PF Steckdr.Anz.Fäd.,
PF-EA Länge nach dem Vertropfen,
PF-VC1 Flächengewicht Soll,
PF-VC2 Flächengewicht Soll,
PF. vorl. Fehl. Ösen,
PTI  LD,
PTI Länge,
PTI Total,
VA1 Breite n.Vorf.S,
VA1 Breite v.Vorfix.,
VA1 Länge n.Vorf.S,
VA1 Länge v.Vorfix.,
VA1 Vorfixierspann.,
VA2 Länge n.Vorf.S,
VA2 Vorfixierspann.,
VA3 Länge n.Vorfix.,
VA3 Vorfixierspann.,
VA4 Breite n.Vorfix.,
Var Bezugsd längs,
Var HöchstzkD längs,
Var HöchstzkD quer,
VC2 Länge,
VC2 Legebreite,
VC3 Gewicht Vliesr.,
Vlies WS,
Vliesgewicht PS,
Vliesgewicht WS,
Vliesmeng PS,
Vliesmeng WS,
Vliesmenge WS gewogen,
Vorlauf der Naht PF,
VR1 Länge,
VR2 Länge,
VR3 Flächengewicht,
VR3 Legebreite,
VR3 Stücklistenpos.,
VR4 Breite,
VR4 Flächengewicht,
VR4 Stücklistenpos.,
WD bei 100 bar,
TENSILE_STRENGTH_NEW,
WEAR,
